file,class_name,method,smell,refactoring,applied,refusal,detail,verdict,errors_before,errors_after,introduced,resolution,introduced_smells,metric,metric_before,metric_after
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\src\com\facebook\buck\features\python\PythonBinaryDescription.java,PythonBinaryDescription,createPackageRule,LongParameterList,IntroduceParameterObject,0,shape_not_matched,"not private, so the call sites are not local",not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\src\com\facebook\buck\features\python\PythonBinaryDescription.java,PythonBinaryDescription,createBuildRule,LongMethod,ExtractMethod,1,,,no_new_errors,30,30,,persists,,MLOC,84.0,76.0
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\src\com\facebook\buck\log\GlobalStateManager.java,GlobalStateManager,setupLoggers,LongMethod,ExtractMethod,0,shape_not_matched,no top-level block of at least 5 lines,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,DebugInfoDecoder,DebugInfoDecoder,LongParameterList,IntroduceParameterObject,0,shape_not_matched,not a method declaration,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,DebugInfoDecoder,decode0,BrainMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,DebugInfoDecoder,decode0,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,DebugInfoDecoder,decode0,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,DebugInfoDecoder,validateEncode0,BrainMethod,ExtractMethod,1,,,no_new_errors,9,9,,persists,LongMethod LongParameterList,MLOC,79.0,49.0
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,DebugInfoDecoder,validateEncode0,LongMethod,ExtractMethod,1,,,no_new_errors,9,9,,persists,LongMethod LongParameterList,MLOC,79.0,49.0
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,DebugInfoDecoder,validateEncode0,LongParameterList,IntroduceParameterObject,1,,,no_new_errors,9,9,,resolved,,NP,8.0,1.0
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,DebugInfoDecoder,validateEncode0,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,LocalEntry,LocalEntry,LongParameterList,IntroduceParameterObject,0,shape_not_matched,not a method declaration,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\rop\code\Rops.java,Rops,ropFor,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\rop\code\Rops.java,Rops,pickIf,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,a non-void method needs a return value,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\rop\code\Rops.java,Rops,pickBinaryOp,LongParameterList,IntroduceParameterObject,1,,,no_new_errors,3,3,,resolved,FeatureEnvy,NP,9.0,1.0
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\third-party\java\dx\src\com\android\dx\rop\code\Rops.java,Rops,opConv,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\tools\consistency_checker\src\com\facebook\buck\tools\consistency\RuleKeyDiffPrinter.java,RuleKeyDiffPrinter,valueAsReadableString,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\tools\consistency_checker\src\com\facebook\buck\tools\consistency\RuleKeyDiffPrinter.java,RuleKeyDiffPrinter,getRuleKeyName,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\tools\ideabuck\src\com\facebook\buck\intellij\ideabuck\autodeps\BuckAddDependencyIntention.java,BuckAddDependencyIntention,create,LongMethod,ExtractMethod,0,shape_not_matched,no top-level block of at least 5 lines,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\tools\ideabuck\src\com\facebook\buck\intellij\ideabuck\autodeps\BuckAddDependencyIntention.java,BuckAddDependencyIntention,BuckAddDependencyIntention,LongParameterList,IntroduceParameterObject,0,shape_not_matched,not a method declaration,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\tools\ideabuck\src\com\facebook\buck\intellij\ideabuck\autodeps\BuckAddDependencyIntention.java,BuckAddDependencyIntention,queryBuckForTargets,LongMethod,ExtractMethod,0,shape_not_matched,no top-level block of at least 5 lines,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\tools\ideabuck\src\com\facebook\buck\intellij\ideabuck\autodeps\BuckAddDependencyIntention.java,BuckAddDependencyIntention,hyperlinkActivated,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__buck__1bc8d383ea5c\tools\ideabuck\src\com\facebook\buck\intellij\ideabuck\autodeps\BuckAddDependencyIntention.java,BuckAddDependencyIntention,updateDependencies,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\facebook-common\src\main\java\com\facebook\share\internal\ShareContentValidation.java,ShareContentValidation,validate,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\facebook-common\src\main\java\com\facebook\share\internal\ShareContentValidation.java,ShareContentValidation,validateOpenGraphValueContainer,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\facebook-core\src\main\java\com\facebook\AccessTokenManager.java,AccessTokenManager,refreshCurrentAccessTokenImpl,BrainMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\facebook-core\src\main\java\com\facebook\AccessTokenManager.java,AccessTokenManager,refreshCurrentAccessTokenImpl,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\facebook-core\src\main\java\com\facebook\AccessTokenManager.java,AccessTokenManager,refreshCurrentAccessTokenImpl,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\facebook-login\src\main\java\com\facebook\login\widget\LoginButton.java,LoginButton,setButtonText,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\samples\PlacesGraphSample\src\com\example\places\PlacesGraphSDKHelper.java,OnPlaceSearchRequestReadyCallback,onCompleted,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\samples\RPSSample\src\com\example\rps\MainActivity.java,MainActivity,onCreate,LongMethod,ExtractMethod,0,shape_not_matched,no top-level block of at least 5 lines,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\samples\RPSSample\src\com\example\rps\MainActivity.java,MainActivity,onActivityResult,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\samples\RPSSample\src\com\example\rps\MainActivity.java,MainActivity,onOptionsItemSelected,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,a non-void method needs a return value,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-android-sdk__81ca34a2a0f7\samples\RPSSample\src\com\example\rps\MainActivity.java,MainActivity,getAppLinkGesture,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,a non-void method needs a return value,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdAccount.java,AdAccount,parseResponse,BrainMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdAccount.java,AdAccount,parseResponse,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdAccount.java,AdAccount,parseResponse,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,a non-void method needs a return value,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdAccount.java,AdAccount,copyFrom,LongMethod,ExtractMethod,0,shape_not_matched,no top-level block of at least 5 lines,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdCampaignActivity.java,AdCampaignActivity,parseResponse,BrainMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdCampaignActivity.java,AdCampaignActivity,parseResponse,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdCampaignActivity.java,AdCampaignActivity,parseResponse,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,a non-void method needs a return value,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdCampaignActivity.java,AdCampaignActivity,copyFrom,LongMethod,ExtractMethod,0,shape_not_matched,no top-level block of at least 5 lines,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdLabel.java,AdLabel,parseResponse,BrainMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdLabel.java,AdLabel,parseResponse,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdLabel.java,AdLabel,parseResponse,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,a non-void method needs a return value,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdStudy.java,AdStudy,parseResponse,BrainMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdStudy.java,AdStudy,parseResponse,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\AdStudy.java,AdStudy,parseResponse,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,a non-void method needs a return value,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\Application.java,Application,parseResponse,BrainMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\facebook__facebook-java-business-sdk__561f1a75e122\src\main\java\com\facebook\ads\sdk\Application.java,Application,parseResponse,LongMethod,ExtractMethod,0,control_flow_escapes,the block contains a return,not_checked,0,0,,,,,,
